timestamp(ms),Air Temp,
"1741876778.568","26.57",
"1741876779.57","26.59",
"1741876780.57","26.59",
"1741876781.571","26.59",
"1741876782.576","26.6",
"1741876783.574","26.59",
"1741876784.575","26.59",
"1741876785.576","26.56",
"1741876786.577","26.59",
"1741876787.578","26.6",
"1741876788.579","26.58",
"1741876789.58","26.6",
"1741876790.581","26.6",
"1741876791.582","26.58",
"1741876792.583","26.59",
"1741876793.593","26.58",
"1741876794.59","26.59",
"1741876795.586","26.59",
"1741876796.587","26.59",
"1741876797.588","26.59",
"1741876798.589","26.59",
"1741876799.59","26.58",
"1741876800.59","26.61",
"1741876801.592","26.59",
"1741876802.593","26.59",
"1741876803.594","26.62",
"1741876804.595","26.59",
"1741876805.596","26.6",
"1741876806.603","26.6",
"1741876807.599","26.59",
"1741876808.6","26.6",
"1741876809.601","26.59",
"1741876810.602","26.6",
"1741876811.62","26.59",
"1741876812.61","26.6",
"1741876813.605","26.61",
"1741876814.606","26.6",
"1741876815.607","26.58",
"1741876816.608","26.61",
"1741876817.609","26.59",
"1741876818.61","26.59",
"1741876819.611","26.61",
"1741876820.612","26.59",
"1741876821.613","26.6",
"1741876822.614","26.59",
"1741876823.63","26.59",
"1741876824.621","26.59",
"1741876825.619","26.6",
"1741876826.618","26.61",
"1741876827.619","26.59",
"1741876828.62","26.6",
"1741876829.621","26.59",
"1741876830.626","26.58",
"1741876831.623","26.59",
"1741876832.624","26.62",
"1741876833.625","26.59",
"1741876834.626","26.61",
"1741876835.627","26.6",
"1741876836.628","26.61",
"1741876837.629","26.59",
"1741876838.63","26.62",
"1741876839.632","26.59",
"1741876840.633","26.6",
"1741876841.644","26.6",
"1741876842.642","26.61",
"1741876843.635","26.6",
"1741876844.636","26.6",
"1741876845.637","26.6",
"1741876846.638","26.61",
"1741876847.639","26.61",
"1741876848.641","26.61",
"1741876849.641","26.59",
"1741876850.642","26.6",
"1741876851.643","26.6",
"1741876852.644","26.61",
"1741876853.659","26.61",
"1741876854.646","26.6",
"1741876855.649","26.62",
"1741876856.649","26.61",
"1741876857.649","26.62",
"1741876858.65","26.61",
"1741876859.651","26.59",
"1741876860.652","26.6",
"1741876861.653","26.6",
"1741876862.654","26.62",
"1741876863.655","26.62",
"1741876864.656","26.61",
"1741876865.657","26.6",
"1741876866.658","26.61",
"1741876867.66","26.61",
"1741876868.661","26.6",
"1741876869.662","26.63",
"1741876870.663","26.62",
"1741876871.664","26.62",
"1741876872.678","26.62",
"1741876873.666","26.64",
"1741876874.667","26.62",
"1741876875.668","26.63",
"1741876876.669","26.61",
"1741876877.67","26.6",
"1741876878.671","26.62",
"1741876879.672","26.63",
"1741876880.673","26.61",
"1741876881.674","26.62",
"1741876882.675","26.61",
"1741876883.691","26.63",
"1741876884.677","26.62",
"1741876885.678","26.61",
"1741876886.679","26.62",
"1741876887.68","26.6",
"1741876888.682","26.62",
"1741876889.682","26.61",
"1741876890.699","26.61",
"1741876891.684","26.62",
"1741876892.685","26.6",
"1741876893.686","26.6",
"1741876894.687","26.63",
"1741876895.688","26.62",
"1741876896.694","26.62",
"1741876897.69","26.6",
"1741876898.691","26.64",
"1741876899.692","26.62",
"1741876900.693","26.59",
"1741876901.694","26.63",
"1741876902.695","26.61",
"1741876903.696","26.62",
"1741876904.699","26.61",
"1741876905.699","26.62",
"1741876906.699","26.62",
"1741876907.711","26.63",
"1741876908.702","26.62",
"1741876909.702","26.61",
